Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,405,4,PAM,P007527,"BADIO, BRANCOU",2FGA,Missed Two Pointer,0,-257,332,D,0,0,0,1,09:40,0,0,20260522180150
2025,405,11,PAM,P010042,"MONTERO, JEAN",2FGA,Missed Two Pointer,0,-150,69,B,0,0,0,1,09:18,0,0,20260522180253
2025,405,13,PAM,P010393,"PRADILLA, JAIME",3FGA,Missed Three Pointer,0,12,765,I,0,0,0,1,09:13,0,0,20260522180258
2025,405,15,MAD,P005928,"CAMPAZZO, FACUNDO",3FGA,Missed Three Pointer,0,508,533,I,0,0,0,1,09:02,0,0,20260522180310
2025,405,18,PAM,P010393,"PRADILLA, JAIME",2FGM,Two Pointer,2,0,194,B,0,0,0,2,08:50,2,0,20260522180321
2025,405,19,MAD,P003733,"ABALDE, ALBERTO",3FGM,Three Pointer,3,-583,464,H,0,0,0,2,08:35,2,3,20260522180337
2025,405,21,PAM,P007527,"BADIO, BRANCOU",3FGA,Missed Three Pointer,0,-451,664,H,0,0,0,2,08:26,2,3,20260522180345
2025,405,23,MAD,P003108,"HEZONJA, MARIO",3FGM,Three Pointer,3,595,464,I,0,0,0,2,08:12,2,6,20260522180359
2025,405,26,PAM,P010393,"PRADILLA, JAIME",2FGA,Missed Two Pointer,0,106,169,C,0,0,0,3,07:53,2,6,20260522180419
2025,405,28,PAM,P011217,"TAYLOR, KAMERON",3FGA,Missed Three Pointer,0,-595,514,H,0,0,0,3,07:48,2,6,20260522180424
2025,405,34,MAD,P003108,"HEZONJA, MARIO",2FGM,Two Pointer,2,50,282,E,0,0,0,3,07:23,2,8,20260522180519
2025,405,35,PAM,P011217,"TAYLOR, KAMERON",2FGM,Two Pointer,2,-138,56,B,0,0,0,3,08:00,4,8,20260522180542
2025,405,37,MAD,P003733,"ABALDE, ALBERTO",2FGM,Two Pointer,2,-106,75,B,0,0,0,4,06:37,4,10,20260522180606
