Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,404,307,OLY,P003469,"VEZENKOV, SASHA",2FGA,Missed Two Pointer,0,294,207,E,0,0,0,23,07:28,42,24,20260522160925
2025,404,311,ULK,P014124,"HORTON TUCKER, TALEN",2FGA,Missed Two Pointer,0,219,388,G,0,0,0,23,07:03,42,24,20260522161009
2025,404,314,OLY,P009849,"DORSEY, TYLER",2FGM,Two Pointer,2,-432,131,F,0,0,0,24,06:49,44,24,20260522161022
2025,404,315,ULK,P009863,"BALDWIN IV, WADE",2FGM,Two Pointer,2,-213,439,F,0,0,0,24,06:34,44,26,20260522161038
2025,404,316,OLY,P009849,"DORSEY, TYLER",3FGA,Missed Three Pointer,0,-382,658,H,0,0,0,24,06:19,44,26,20260522161053
2025,404,322,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,1,0,1,24,06:11,44,27,20260522161129
2025,404,323,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,1,0,1,24,06:11,44,28,20260522161140
2025,404,324,OLY,P009849,"DORSEY, TYLER",3FGA,Missed Three Pointer,0,539,508,I,0,0,0,24,06:03,44,28,20260522161154
2025,404,329,ULK,P002100,"DE COLO, NANDO",3FGM,Three Pointer,3,169,696,I,0,0,0,25,05:47,44,31,20260522161229
2025,404,333,OLY,P003469,"VEZENKOV, SASHA",2FGA,Missed Two Pointer,0,181,169,C,0,0,0,25,05:27,44,31,20260522161301
2025,404,337,ULK,P009863,"BALDWIN IV, WADE",2FGA,Missed Two Pointer,0,-106,181,B,0,0,0,25,05:19,44,31,20260522161309
2025,404,339,ULK,P006961,"BIBEROVIC, TARIK",3FGM,Three Pointer,3,664,144,I,0,1,1,25,05:13,44,34,20260522161314
2025,404,341,OLY,P008855,"WALKUP, THOMAS",3FGA,Missed Three Pointer,0,-131,734,H,0,0,0,25,05:12,44,34,20260522161330
2025,404,350,ULK,P006961,"BIBEROVIC, TARIK",3FGA,Missed Three Pointer,0,-345,664,H,0,0,0,26,04:35,44,34,20260522161426
2025,404,352,OLY,P003469,"VEZENKOV, SASHA",2FGM,Two Pointer,2,100,81,C,1,0,0,26,04:30,46,34,20260522161431
2025,404,354,ULK,P012613,"JANTUNEN, MIKAEL",3FGA,Missed Three Pointer,0,683,-25,I,0,0,0,26,04:09,46,34,20260522161452
2025,404,357,OLY,P003469,"VEZENKOV, SASHA",2FGM,Two Pointer,2,-125,94,B,1,0,0,27,03:55,48,34,20260522161506
2025,404,362,ULK,P014124,"HORTON TUCKER, TALEN",2FGM,Two Pointer,2,-294,363,F,0,0,0,27,03:35,48,36,20260522161656
2025,404,371,ULK,P012613,"JANTUNEN, MIKAEL",3FGA,Missed Three Pointer,0,-683,-62,H,0,0,0,28,02:57,48,36,20260522161828
2025,404,373,OLY,P003469,"VEZENKOV, SASHA",3FGA,Missed Three Pointer,0,351,646,I,0,0,0,28,02:46,48,36,20260522161840
2025,404,375,ULK,P014124,"HORTON TUCKER, TALEN",3FGM,Three Pointer,3,-520,508,H,0,0,0,28,02:28,48,39,20260522161858
2025,404,385,OLY,P013380,"FOURNIER, EVAN",3FGM,Three Pointer,3,595,445,I,0,0,0,29,01:53,51,39,20260522162017
2025,404,386,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-87,784,H,0,0,0,29,01:32,51,39,20260522162038
2025,404,390,OLY,P003469,"VEZENKOV, SASHA",3FGM,Three Pointer,3,-677,-94,H,0,0,0,29,01:16,54,39,20260522162123
2025,404,393,ULK,P009863,"BALDWIN IV, WADE",2FGM,Two Pointer,2,-200,232,D,0,0,0,30,00:55,54,41,20260522162144
2025,404,394,OLY,P003469,"VEZENKOV, SASHA",2FGM,Two Pointer,2,-125,94,B,0,0,0,30,00:35,56,41,20260522162204
2025,404,397,OLY,P013380,"FOURNIER, EVAN",3FGA,Missed Three Pointer,0,-539,639,H,0,0,0,30,00:04,56,41,20260522162235
2025,404,412,ULK,P006961,"BIBEROVIC, TARIK",3FGM,Three Pointer,3,-12,759,H,0,0,0,31,09:49,56,44,20260522162509
2025,404,414,OLY,P013380,"FOURNIER, EVAN",3FGA,Missed Three Pointer,0,-163,796,H,0,0,0,31,09:22,56,44,20260522162536
2025,404,418,ULK,P006961,"BIBEROVIC, TARIK",2FGM,Two Pointer,2,112,100,C,0,0,0,31,09:10,56,46,20260522162618
2025,404,421,ULK,P006961,"BIBEROVIC, TARIK",FTM,Free Throw In,1,-1,-1, ,0,0,0,31,09:10,56,47,20260522162651
2025,404,423,OLY,P012610,"WARD, TYSON",3FGA,Missed Three Pointer,0,-671,207,H,0,0,0,32,08:50,56,47,20260522162716
2025,404,425,ULK,P014124,"HORTON TUCKER, TALEN",2FGM,Two Pointer,2,12,150,C,1,0,0,32,08:44,56,49,20260522162722
2025,404,435,OLY,P003941,"MILUTINOV, NIKOLA",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:21,57,49,20260522162959
2025,404,437,OLY,P003941,"MILUTINOV, NIKOLA",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:21,58,49,20260522163016
2025,404,438,ULK,P009863,"BALDWIN IV, WADE",3FGA,Missed Three Pointer,0,627,313,I,0,0,0,32,08:04,58,49,20260522163038
2025,404,441,OLY,P012610,"WARD, TYSON",2FGA,Missed Two Pointer,0,-163,119,B,0,0,0,33,07:43,58,49,20260522163059
2025,404,445,OLY,P013380,"FOURNIER, EVAN",3FGM,Three Pointer,3,-50,846,H,0,1,0,33,07:33,61,49,20260522163141
2025,404,449,ULK,P012613,"JANTUNEN, MIKAEL",3FGA,Missed Three Pointer,0,464,602,I,0,0,0,33,07:17,61,49,20260522163334
2025,404,451,ULK,P012613,"JANTUNEN, MIKAEL",3FGA,Missed Three Pointer,0,633,432,I,0,0,0,33,07:05,61,49,20260522163345
2025,404,536,ULK,P012613,"JANTUNEN, MIKAEL",3FGA,Missed Three Pointer,0,614,370,I,0,0,0,33,07:05,61,49,20260522164638
2025,404,454,OLY,P013380,"FOURNIER, EVAN",2FGA,Missed Two Pointer,0,-169,119,B,0,0,0,34,06:46,61,49,20260522163405
2025,404,462,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,0,0,0,34,06:45,61,50,20260522163440
2025,404,463,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,0,0,0,34,06:45,61,51,20260522163455
2025,404,464,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,0,0,0,34,06:45,61,52,20260522163509
2025,404,467,OLY,P008829,"PETERS, ALEC",2FGM,Two Pointer,2,-112,106,B,0,0,0,34,06:29,63,52,20260522163535
2025,404,469,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,570,545,I,0,0,0,34,06:14,63,52,20260522163550
