TEAM_CODE,TEAM,ASSIST_PLAYER_ID,ASSIST_PLAYER,SCORER_PLAYER_ID,SCORER_PLAYER,ASSISTS,ASSISTED_POINTS
MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P003108,"HEZONJA, MARIO",4,11
MAD,Real Madrid,P009005,"DECK, GABRIEL",P014117,"LYLES, TREY",2,6
MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P011247,"FELIZ, ANDRES",2,5
MAD,Real Madrid,P003108,"HEZONJA, MARIO",P003733,"ABALDE, ALBERTO",1,3
MAD,Real Madrid,P003733,"ABALDE, ALBERTO",P014117,"LYLES, TREY",1,3
MAD,Real Madrid,P007027,"MALEDON, THEO",P011247,"FELIZ, ANDRES",1,3
MAD,Real Madrid,P007630,"GARUBA, USMAN",P014006,"OKEKE, CHUMA",1,3
MAD,Real Madrid,P011247,"FELIZ, ANDRES",P007027,"MALEDON, THEO",1,3
MAD,Real Madrid,P003108,"HEZONJA, MARIO",P014117,"LYLES, TREY",1,2
MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P009005,"DECK, GABRIEL",1,2
MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P014117,"LYLES, TREY",1,2
MAD,Real Madrid,P007027,"MALEDON, THEO",P009005,"DECK, GABRIEL",1,2
MAD,Real Madrid,P011247,"FELIZ, ANDRES",P007630,"GARUBA, USMAN",1,2
PAM,Valencia Basket,P010042,"MONTERO, JEAN",P010393,"PRADILLA, JAIME",2,6
PAM,Valencia Basket,P014168,"KEY, BRAXTON",P012738,"REUVERS, NATHAN",2,5
PAM,Valencia Basket,P010042,"MONTERO, JEAN",P012738,"REUVERS, NATHAN",2,4
PAM,Valencia Basket,P010042,"MONTERO, JEAN",P014168,"KEY, BRAXTON",2,4
PAM,Valencia Basket,P010750,"DE LARREA, SERGIO",P010545,"SAKO, NEAL",2,4
PAM,Valencia Basket,P014115,"MOORE, OMARI",P014168,"KEY, BRAXTON",2,4
PAM,Valencia Basket,P010042,"MONTERO, JEAN",P011078,"THOMPSON, DARIUS",1,3
PAM,Valencia Basket,P010042,"MONTERO, JEAN",P011217,"TAYLOR, KAMERON",1,3
PAM,Valencia Basket,P010393,"PRADILLA, JAIME",P010042,"MONTERO, JEAN",1,3
PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P014168,"KEY, BRAXTON",1,3
PAM,Valencia Basket,P014168,"KEY, BRAXTON",P010444,"COSTELLO, MATTHEW",1,3
PAM,Valencia Basket,P007527,"BADIO, BRANCOU",P012738,"REUVERS, NATHAN",1,2
PAM,Valencia Basket,P011078,"THOMPSON, DARIUS",P012738,"REUVERS, NATHAN",1,2
PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P007527,"BADIO, BRANCOU",1,2
PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P010393,"PRADILLA, JAIME",1,2
PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P010545,"SAKO, NEAL",1,2
