Team,Dorsal,Player,Min,PTS,2FG_M,2FG_A,3FG_M,3FG_A,FT_M,FT_A,OREB,DREB,REB,AST,STL,TO,BLK_F,BLK_A,FOULS_C,FOULS_R,PIR,+/-,2FG_%,3FG_%,FT_%
PAM,0.0,"BADIO, BRANCOU",22:16,6,3,6,0,3,0,0,0,2,2,1,1,0,0,0,5,1,0,-13.0,50.0,0.0,0.0
PAM,1.0,"TAYLOR, KAMERON",30:38,11,4,5,1,4,0,0,3,3,6,4,0,5,0,0,4,4,12,-6.0,80.0,25.0,0.0
PAM,3.0,"REUVERS, NATHAN",18:47,15,5,5,1,1,2,2,0,0,0,0,0,0,0,0,2,2,15,-3.0,100.0,100.0,100.0
PAM,4.0,"PRADILLA, JAIME",23:16,15,4,6,2,5,1,2,1,7,8,1,1,0,1,0,0,3,23,-14.0,66.7,40.0,50.0
PAM,5.0,"DE LARREA, SERGIO",08:59,3,0,1,1,2,0,0,1,0,1,2,0,1,1,0,2,0,2,-8.0,0.0,50.0,0.0
PAM,7.0,"KEY, BRAXTON",25:01,13,5,7,1,2,0,0,1,4,5,3,0,0,2,1,2,0,17,-4.0,71.4,50.0,0.0
PAM,8.0,"MONTERO, JEAN",30:46,15,3,8,2,8,3,3,0,2,2,9,3,2,1,1,1,4,19,-12.0,37.5,25.0,100.0
PAM,10.0,"MOORE, OMARI",04:24,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,-1.0,0.0,0.0,0.0
PAM,12.0,"SAKO, NEAL",15:25,6,3,3,0,0,0,2,2,2,4,0,0,1,0,0,2,2,7,-6.0,100.0,0.0,0.0
PAM,13.0,"THOMPSON, DARIUS",13:35,3,0,1,1,3,0,0,0,1,1,1,0,0,0,0,2,2,2,4.0,0.0,33.3,0.0
PAM,24.0,"COSTELLO, MATTHEW",06:53,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,-12.0,0.0,100.0,0.0
PAM,32.0,"NOGUES, ISAAC",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MAD,0.0,"LYLES, TREY",23:48,17,3,5,3,6,2,2,1,6,7,1,0,0,0,0,2,1,19,3.0,60.0,50.0,100.0
MAD,6.0,"ABALDE, ALBERTO",16:11,5,1,2,1,3,0,0,2,1,3,2,0,0,0,0,2,0,5,-3.0,50.0,33.3,0.0
MAD,7.0,"CAMPAZZO, FACUNDO",25:17,8,0,2,2,6,2,2,0,0,0,8,0,6,0,0,2,4,6,1.0,0.0,33.3,100.0
MAD,8.0,"OKEKE, CHUMA",17:09,5,1,1,1,4,0,0,2,2,4,0,0,0,1,0,2,0,5,8.0,100.0,25.0,0.0
MAD,9.0,"PROCIDA, GABRIELE",00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MAD,11.0,"HEZONJA, MARIO",30:44,25,5,8,3,6,6,8,2,5,7,3,1,0,0,0,2,7,33,9.0,62.5,50.0,75.0
MAD,12.0,"MALEDON, THEO",16:24,12,2,5,1,2,5,6,1,2,3,3,0,1,0,0,1,4,15,14.0,40.0,50.0,83.3
MAD,13.0,"ALMANSA, IZAN",00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0
MAD,14.0,"DECK, GABRIEL",22:04,16,6,10,0,2,4,5,5,3,8,2,1,0,1,2,2,3,20,9.0,60.0,0.0,80.0
MAD,16.0,"GARUBA, USMAN",22:17,2,1,3,0,0,0,0,0,5,5,1,0,0,0,0,2,0,4,17.0,33.3,0.0,0.0
MAD,23.0,"LLULL, SERGIO",05:02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-2,-1.0,0.0,0.0,0.0
MAD,24.0,"FELIZ, ANDRES",20:26,15,2,7,3,4,2,2,3,5,8,3,1,1,0,3,2,2,17,15.0,28.6,75.0,100.0
