Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus
2025,405,1,Total,,,PAM,,Total,200:00,90,27,44,10,29,6,9,9,22,31,23,5,9,5,2,21,18,101,
2025,405,0,Total,,,MAD,,Total,200:00,105,21,43,14,34,21,25,19,29,48,23,3,9,2,5,18,21,124,
