Gamecode,TEAM_CODE,TEAM,ASSIST_PLAYER_ID,ASSIST_PLAYER,SCORER_PLAYER_ID,SCORER_PLAYER,SHOT_TYPE,ASSISTED_POINTS,PERIOD,MINUTE,MARKERTIME
405,MAD,Real Madrid,P003108,"HEZONJA, MARIO",P003733,"ABALDE, ALBERTO",3FGM,3,1,2,08:35
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P003108,"HEZONJA, MARIO",3FGM,3,1,2,08:12
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P003108,"HEZONJA, MARIO",3FGM,3,1,4,06:05
405,PAM,Valencia Basket,P011078,"THOMPSON, DARIUS",P012738,"REUVERS, NATHAN",2FGM,2,1,5,05:31
405,PAM,Valencia Basket,P010750,"DE LARREA, SERGIO",P010545,"SAKO, NEAL",2FGM,2,1,6,04:48
405,PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P014168,"KEY, BRAXTON",3FGM,3,1,6,04:19
405,PAM,Valencia Basket,P010750,"DE LARREA, SERGIO",P010545,"SAKO, NEAL",2FGM,2,1,8,02:39
405,PAM,Valencia Basket,P014115,"MOORE, OMARI",P014168,"KEY, BRAXTON",2FGM,2,1,9,01:39
405,PAM,Valencia Basket,P014115,"MOORE, OMARI",P014168,"KEY, BRAXTON",2FGM,2,1,10,00:39
405,MAD,Real Madrid,P009005,"DECK, GABRIEL",P014117,"LYLES, TREY",3FGM,3,1,10,00:16
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P014168,"KEY, BRAXTON",2FGM,2,1,10,00:02
405,MAD,Real Madrid,P009005,"DECK, GABRIEL",P014117,"LYLES, TREY",3FGM,3,2,11,09:20
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P010393,"PRADILLA, JAIME",3FGM,3,2,12,08:30
405,MAD,Real Madrid,P007027,"MALEDON, THEO",P009005,"DECK, GABRIEL",2FGM,2,2,12,08:13
405,PAM,Valencia Basket,P010393,"PRADILLA, JAIME",P010042,"MONTERO, JEAN",3FGM,3,2,13,07:55
405,MAD,Real Madrid,P007027,"MALEDON, THEO",P011247,"FELIZ, ANDRES",3FGM,3,2,13,07:18
405,MAD,Real Madrid,P011247,"FELIZ, ANDRES",P007630,"GARUBA, USMAN",2FGM,2,2,15,05:55
405,MAD,Real Madrid,P007630,"GARUBA, USMAN",P014006,"OKEKE, CHUMA",3FGM,3,2,15,05:25
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P014117,"LYLES, TREY",2FGM,2,2,17,03:57
405,PAM,Valencia Basket,P014168,"KEY, BRAXTON",P012738,"REUVERS, NATHAN",2FGM,2,2,17,03:43
405,MAD,Real Madrid,P003733,"ABALDE, ALBERTO",P014117,"LYLES, TREY",3FGM,3,2,17,03:09
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P012738,"REUVERS, NATHAN",2FGM,2,2,18,02:31
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P014168,"KEY, BRAXTON",2FGM,2,2,19,01:55
405,PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P010545,"SAKO, NEAL",2FGM,2,2,20,00:44
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P003108,"HEZONJA, MARIO",2FGM,2,2,20,00:28
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P011217,"TAYLOR, KAMERON",3FGM,3,3,21,09:03
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P011078,"THOMPSON, DARIUS",3FGM,3,3,25,05:51
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P003108,"HEZONJA, MARIO",3FGM,3,3,26,04:36
405,MAD,Real Madrid,P011247,"FELIZ, ANDRES",P007027,"MALEDON, THEO",3FGM,3,3,29,01:54
405,PAM,Valencia Basket,P014168,"KEY, BRAXTON",P010444,"COSTELLO, MATTHEW",3FGM,3,3,30,00:11
405,PAM,Valencia Basket,P014168,"KEY, BRAXTON",P012738,"REUVERS, NATHAN",3FGM,3,4,32,08:25
405,PAM,Valencia Basket,P007527,"BADIO, BRANCOU",P012738,"REUVERS, NATHAN",2FGM,2,4,34,06:37
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P012738,"REUVERS, NATHAN",2FGM,2,4,34,06:08
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P011247,"FELIZ, ANDRES",3FGM,3,4,36,04:37
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P009005,"DECK, GABRIEL",2FGM,2,4,38,02:29
405,MAD,Real Madrid,P005928,"CAMPAZZO, FACUNDO",P011247,"FELIZ, ANDRES",2FGM,2,4,39,01:45
405,PAM,Valencia Basket,P010042,"MONTERO, JEAN",P010393,"PRADILLA, JAIME",3FGM,3,4,39,01:35
405,MAD,Real Madrid,P003108,"HEZONJA, MARIO",P014117,"LYLES, TREY",2FGM,2,4,39,01:36
405,PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P007527,"BADIO, BRANCOU",2FGM,2,4,40,00:44
405,PAM,Valencia Basket,P011217,"TAYLOR, KAMERON",P010393,"PRADILLA, JAIME",2FGM,2,4,40,00:34
