Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus
2025,405,1,P007527   ,1.0,0.0,PAM,0,"BADIO, BRANCOU",22:16,6,3,6,0,3,0,0,0,2,2,1,1,0,0,0,5,1,0,-13.0
2025,405,1,P011217   ,1.0,1.0,PAM,1,"TAYLOR, KAMERON",30:38,11,4,5,1,4,0,0,3,3,6,4,0,5,0,0,4,4,12,-6.0
2025,405,1,P012738   ,1.0,0.0,PAM,3,"REUVERS, NATHAN",18:47,15,5,5,1,1,2,2,0,0,0,0,0,0,0,0,2,2,15,-3.0
2025,405,1,P010393   ,1.0,1.0,PAM,4,"PRADILLA, JAIME",23:16,15,4,6,2,5,1,2,1,7,8,1,1,0,1,0,0,3,23,-14.0
2025,405,1,P010750   ,0.0,1.0,PAM,5,"DE LARREA, SERGIO",08:59,3,0,1,1,2,0,0,1,0,1,2,0,1,1,0,2,0,2,-8.0
2025,405,1,P014168   ,0.0,1.0,PAM,7,"KEY, BRAXTON",25:01,13,5,7,1,2,0,0,1,4,5,3,0,0,2,1,2,0,17,-4.0
2025,405,1,P010042   ,1.0,1.0,PAM,8,"MONTERO, JEAN",30:46,15,3,8,2,8,3,3,0,2,2,9,3,2,1,1,1,4,19,-12.0
2025,405,1,P014115   ,0.0,0.0,PAM,10,"MOORE, OMARI",04:24,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,-1.0
2025,405,1,P010545   ,0.0,0.0,PAM,12,"SAKO, NEAL",15:25,6,3,3,0,0,0,2,2,2,4,0,0,1,0,0,2,2,7,-6.0
2025,405,1,P011078   ,0.0,0.0,PAM,13,"THOMPSON, DARIUS",13:35,3,0,1,1,3,0,0,0,1,1,1,0,0,0,0,2,2,2,4.0
2025,405,1,P010444   ,0.0,0.0,PAM,24,"COSTELLO, MATTHEW",06:53,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,-12.0
2025,405,1,P010162   ,0.0,0.0,PAM,32,"NOGUES, ISAAC",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,405,1,Team,0.0,0.0,PAM,,Team,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025,405,1,Total,,,PAM,,Total,200:00,90,27,44,10,29,6,9,9,22,31,23,5,9,5,2,21,18,101,
2025,405,0,P014117   ,0.0,0.0,MAD,0,"LYLES, TREY",23:48,17,3,5,3,6,2,2,1,6,7,1,0,0,0,0,2,1,19,3.0
2025,405,0,P003733   ,1.0,0.0,MAD,6,"ABALDE, ALBERTO",16:11,5,1,2,1,3,0,0,2,1,3,2,0,0,0,0,2,0,5,-3.0
2025,405,0,P005928   ,1.0,1.0,MAD,7,"CAMPAZZO, FACUNDO",25:17,8,0,2,2,6,2,2,0,0,0,8,0,6,0,0,2,4,6,1.0
2025,405,0,P014006   ,1.0,0.0,MAD,8,"OKEKE, CHUMA",17:09,5,1,1,1,4,0,0,2,2,4,0,0,0,1,0,2,0,5,8.0
2025,405,0,P008384   ,0.0,1.0,MAD,9,"PROCIDA, GABRIELE",00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,405,0,P003108   ,1.0,0.0,MAD,11,"HEZONJA, MARIO",30:44,25,5,8,3,6,6,8,2,5,7,3,1,0,0,0,2,7,33,9.0
2025,405,0,P007027   ,0.0,1.0,MAD,12,"MALEDON, THEO",16:24,12,2,5,1,2,5,6,1,2,3,3,0,1,0,0,1,4,15,14.0
2025,405,0,P010105   ,0.0,1.0,MAD,13,"ALMANSA, IZAN",00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
2025,405,0,P009005   ,0.0,1.0,MAD,14,"DECK, GABRIEL",22:04,16,6,10,0,2,4,5,5,3,8,2,1,0,1,2,2,3,20,9.0
2025,405,0,P007630   ,1.0,0.0,MAD,16,"GARUBA, USMAN",22:17,2,1,3,0,0,0,0,0,5,5,1,0,0,0,0,2,0,4,17.0
2025,405,0,PTGB      ,0.0,0.0,MAD,23,"LLULL, SERGIO",05:02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-2,-1.0
2025,405,0,P011247   ,0.0,0.0,MAD,24,"FELIZ, ANDRES",20:26,15,2,7,3,4,2,2,3,5,8,3,1,1,0,3,2,2,17,15.0
2025,405,0,Team,0.0,0.0,MAD,,Team,,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,2,
2025,405,0,Total,,,MAD,,Total,200:00,105,21,43,14,34,21,25,19,29,48,23,3,9,2,5,18,21,124,
